ID	Gene Name	Species	GOTERM_BP_DIRECT
LTC4S	leukotriene C4 synthase(LTC4S)	Homo sapiens	GO:0006691~leukotriene metabolic process,GO:0019370~leukotriene biosynthetic process,GO:0019372~lipoxygenase pathway,GO:0043085~positive regulation of catalytic activity,GO:0098869~cellular oxidant detoxification,GO:2001300~lipoxin metabolic process,
LIN28A	lin-28 homolog A(LIN28A)	Homo sapiens	GO:0006355~regulation of transcription, DNA-templated,GO:0007281~germ cell development,GO:0010587~miRNA catabolic process,GO:0017148~negative regulation of translation,GO:0019827~stem cell population maintenance,GO:0031054~pre-miRNA processing,GO:0031123~RNA 3'-end processing,GO:0035019~somatic stem cell population maintenance,GO:0045666~positive regulation of neuron differentiation,GO:0045686~negative regulation of glial cell differentiation,GO:0045727~positive regulation of translation,GO:0048863~stem cell differentiation,GO:0060964~regulation of gene silencing by miRNA,GO:1901724~positive regulation of cell proliferation involved in kidney development,
LAT	linker for activation of T-cells(LAT)	Homo sapiens	GO:0000165~MAPK cascade,GO:0002250~adaptive immune response,GO:0002260~lymphocyte homeostasis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0007229~integrin-mediated signaling pathway,GO:0007265~Ras protein signal transduction,GO:0009967~positive regulation of signal transduction,GO:0010467~gene expression,GO:0019722~calcium-mediated signaling,GO:0030168~platelet activation,GO:0035556~intracellular signal transduction,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0042110~T cell activation,GO:0043303~mast cell degranulation,GO:0043547~positive regulation of GTPase activity,GO:0045860~positive regulation of protein kinase activity,GO:0050852~T cell receptor signaling pathway,GO:0050863~regulation of T cell activation,
LIPE	lipase E, hormone sensitive type(LIPE)	Homo sapiens	GO:0006468~protein phosphorylation,GO:0008152~metabolic process,GO:0008203~cholesterol metabolic process,GO:0016042~lipid catabolic process,GO:0019433~triglyceride catabolic process,GO:0042758~long-chain fatty acid catabolic process,GO:0046340~diacylglycerol catabolic process,
LPIN1	lipin 1(LPIN1)	Homo sapiens	GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006642~triglyceride mobilization,GO:0006646~phosphatidylethanolamine biosynthetic process,GO:0006656~phosphatidylcholine biosynthetic process,GO:0007077~mitotic nuclear envelope disassembly,GO:0009062~fatty acid catabolic process,GO:0016311~dephosphorylation,GO:0019432~triglyceride biosynthetic process,GO:0031100~organ regeneration,GO:0032869~cellular response to insulin stimulus,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,
LPIN2	lipin 2(LPIN2)	Homo sapiens	GO:0006351~transcription, DNA-templated,GO:0006629~lipid metabolic process,GO:0006646~phosphatidylethanolamine biosynthetic process,GO:0006656~phosphatidylcholine biosynthetic process,GO:0009062~fatty acid catabolic process,GO:0016311~dephosphorylation,GO:0019432~triglyceride biosynthetic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,
LCN2	lipocalin 2(LCN2)	Homo sapiens	GO:0006811~ion transport,GO:0006879~cellular iron ion homeostasis,GO:0006915~apoptotic process,GO:0009615~response to virus,GO:0009635~response to herbicide,GO:0010046~response to mycotoxin,GO:0010628~positive regulation of gene expression,GO:0015891~siderophore transport,GO:0031346~positive regulation of cell projection organization,GO:0031669~cellular response to nutrient levels,GO:0042493~response to drug,GO:0045087~innate immune response,GO:0070207~protein homotrimerization,GO:0070301~cellular response to hydrogen peroxide,GO:0071222~cellular response to lipopolysaccharide,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand,
LBP	lipopolysaccharide binding protein(LBP)	Homo sapiens	GO:0002232~leukocyte chemotaxis involved in inflammatory response,GO:0002281~macrophage activation involved in immune response,GO:0006953~acute-phase response,GO:0006968~cellular defense response,GO:0008228~opsonization,GO:0015920~lipopolysaccharide transport,GO:0031663~lipopolysaccharide-mediated signaling pathway,GO:0032490~detection of molecule of bacterial origin,GO:0032496~response to lipopolysaccharide,GO:0032720~negative regulation of tumor necrosis factor production,GO:0032722~positive regulation of chemokine production,GO:0032755~positive regulation of interleukin-6 production,GO:0032757~positive regulation of interleukin-8 production,GO:0032760~positive regulation of tumor necrosis factor production,GO:0034142~toll-like receptor 4 signaling pathway,GO:0034145~positive regulation of toll-like receptor 4 signaling pathway,GO:0042535~positive regulation of tumor necrosis factor biosynthetic process,GO:0043032~positive regulation of macrophage activation,GO:0044130~negative regulation of growth of symbiont in host,GO:0045087~innate immune response,GO:0050829~defense response to Gram-negative bacterium,GO:0050830~defense response to Gram-positive bacterium,GO:0060265~positive regulation of respiratory burst involved in inflammatory response,GO:0071222~cellular response to lipopolysaccharide,GO:0071223~cellular response to lipoteichoic acid,GO:0090023~positive regulation of neutrophil chemotaxis,
LITAF	lipopolysaccharide induced TNF factor(LITAF)	Homo sapiens	GO:0001817~regulation of cytokine production,GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006915~apoptotic process,GO:0007165~signal transduction,GO:0007568~aging,GO:0042347~negative regulation of NF-kappaB import into nucleus,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0071222~cellular response to lipopolysaccharide,
LPL	lipoprotein lipase(LPL)	Homo sapiens	GO:0001523~retinoid metabolic process,GO:0006629~lipid metabolic process,GO:0006633~fatty acid biosynthetic process,GO:0006641~triglyceride metabolic process,GO:0006644~phospholipid metabolic process,GO:0009409~response to cold,GO:0009749~response to glucose,GO:0010744~positive regulation of macrophage derived foam cell differentiation,GO:0010886~positive regulation of cholesterol storage,GO:0010890~positive regulation of sequestering of triglyceride,GO:0016042~lipid catabolic process,GO:0019432~triglyceride biosynthetic process,GO:0019433~triglyceride catabolic process,GO:0034371~chylomicron remodeling,GO:0034372~very-low-density lipoprotein particle remodeling,GO:0042157~lipoprotein metabolic process,GO:0042493~response to drug,GO:0042632~cholesterol homeostasis,GO:0050729~positive regulation of inflammatory response,GO:0070328~triglyceride homeostasis,GO:0090197~positive regulation of chemokine secretion,
LPA	lipoprotein(a)(LPA)	Homo sapiens	GO:0006508~proteolysis,GO:0006629~lipid metabolic process,GO:0006869~lipid transport,GO:0008015~blood circulation,GO:0010951~negative regulation of endopeptidase activity,GO:0042157~lipoprotein metabolic process,
LOR	loricrin(LOR)	Homo sapiens	GO:0007010~cytoskeleton organization,GO:0018149~peptide cross-linking,GO:0030216~keratinocyte differentiation,GO:0031424~keratinization,
LDLR	low density lipoprotein receptor(LDLR)	Homo sapiens	GO:0006629~lipid metabolic process,GO:0006897~endocytosis,GO:0006898~receptor-mediated endocytosis,GO:0008203~cholesterol metabolic process,GO:0010628~positive regulation of gene expression,GO:0010629~negative regulation of gene expression,GO:0010867~positive regulation of triglyceride biosynthetic process,GO:0010899~regulation of phosphatidylcholine catabolic process,GO:0015914~phospholipid transport,GO:0030299~intestinal cholesterol absorption,GO:0030301~cholesterol transport,GO:0034383~low-density lipoprotein particle clearance,GO:0042159~lipoprotein catabolic process,GO:0042632~cholesterol homeostasis,GO:0046718~viral entry into host cell,GO:0050729~positive regulation of inflammatory response,GO:0070508~cholesterol import,GO:0071398~cellular response to fatty acid,GO:2000188~regulation of cholesterol homeostasis,
LUM	lumican(LUM)	Homo sapiens	GO:0007409~axonogenesis,GO:0007601~visual perception,GO:0014070~response to organic cyclic compound,GO:0018146~keratan sulfate biosynthetic process,GO:0030198~extracellular matrix organization,GO:0030199~collagen fibril organization,GO:0032914~positive regulation of transforming growth factor beta1 production,GO:0042340~keratan sulfate catabolic process,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0051216~cartilage development,GO:0070848~response to growth factor,
LHCGR	luteinizing hormone/choriogonadotropin receptor(LHCGR)	Homo sapiens	GO:0007186~G-protein coupled receptor signaling pathway,GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway,GO:0007190~activation of adenylate cyclase activity,GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway,GO:0008584~male gonad development,GO:0009755~hormone-mediated signaling pathway,GO:0022602~ovulation cycle process,GO:0030539~male genitalia development,GO:0032962~positive regulation of inositol trisphosphate biosynthetic process,GO:0042700~luteinizing hormone signaling pathway,GO:0043950~positive regulation of cAMP-mediated signaling,GO:0050890~cognition,GO:0071371~cellular response to gonadotropin stimulus,
LYVE1	lymphatic vessel endothelial hyaluronan receptor 1(LYVE1)	Homo sapiens	GO:0006027~glycosaminoglycan catabolic process,GO:0006810~transport,GO:0006928~movement of cell or subcellular component,GO:0007155~cell adhesion,GO:0007160~cell-matrix adhesion,GO:0007165~signal transduction,GO:0009611~response to wounding,GO:0009653~anatomical structure morphogenesis,GO:0030214~hyaluronan catabolic process,
LAG3	lymphocyte activating 3(LAG3)	Homo sapiens	GO:0007166~cell surface receptor signaling pathway,GO:0045085~negative regulation of interleukin-2 biosynthetic process,GO:0045954~positive regulation of natural killer cell mediated cytotoxicity,GO:0050868~negative regulation of T cell activation,
LY75	lymphocyte antigen 75(LY75)	Homo sapiens	GO:0006897~endocytosis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007165~signal transduction,
LY86	lymphocyte antigen 86(LY86)	Homo sapiens	GO:0006915~apoptotic process,GO:0006954~inflammatory response,GO:0006959~humoral immune response,GO:0008283~cell proliferation,GO:0031666~positive regulation of lipopolysaccharide-mediated signaling pathway,GO:0045087~innate immune response,
LY9	lymphocyte antigen 9(LY9)	Homo sapiens	GO:0032740~positive regulation of interleukin-17 production,GO:0045087~innate immune response,GO:0072540~T-helper 17 cell lineage commitment,
LY96	lymphocyte antigen 96(LY96)	Homo sapiens	GO:0002755~MyD88-dependent toll-like receptor signaling pathway,GO:0002756~MyD88-independent toll-like receptor signaling pathway,GO:0006954~inflammatory response,GO:0006968~cellular defense response,GO:0007166~cell surface receptor signaling pathway,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0031663~lipopolysaccharide-mediated signaling pathway,GO:0031666~positive regulation of lipopolysaccharide-mediated signaling pathway,GO:0032496~response to lipopolysaccharide,GO:0032497~detection of lipopolysaccharide,GO:0032760~positive regulation of tumor necrosis factor production,GO:0034128~negative regulation of MyD88-independent toll-like receptor signaling pathway,GO:0034142~toll-like receptor 4 signaling pathway,GO:0035666~TRIF-dependent toll-like receptor signaling pathway,GO:0045087~innate immune response,GO:0070266~necroptotic process,GO:0097190~apoptotic signaling pathway,
LCP1	lymphocyte cytosolic protein 1(LCP1)	Homo sapiens	GO:0002286~T cell activation involved in immune response,GO:0010737~protein kinase A signaling,GO:0016477~cell migration,GO:0022617~extracellular matrix disassembly,GO:0031100~organ regeneration,GO:0033157~regulation of intracellular protein transport,GO:0044319~wound healing, spreading of cells,GO:0051017~actin filament bundle assembly,GO:0051639~actin filament network formation,GO:0051764~actin crosslink formation,GO:0071803~positive regulation of podosome assembly,
LCP2	lymphocyte cytosolic protein 2(LCP2)	Homo sapiens	GO:0006955~immune response,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0030168~platelet activation,GO:0035556~intracellular signal transduction,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0045576~mast cell activation,GO:0045860~positive regulation of protein kinase activity,GO:0050663~cytokine secretion,GO:0050852~T cell receptor signaling pathway,
LEF1	lymphoid enhancer binding factor 1(LEF1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001569~patterning of blood vessels,GO:0001649~osteoblast differentiation,GO:0001755~neural crest cell migration,GO:0001756~somitogenesis,GO:0001837~epithelial to mesenchymal transition,GO:0002040~sprouting angiogenesis,GO:0006366~transcription from RNA polymerase II promoter,GO:0007223~Wnt signaling pathway, calcium modulating pathway,GO:0008284~positive regulation of cell proliferation,GO:0010628~positive regulation of gene expression,GO:0010718~positive regulation of epithelial to mesenchymal transition,GO:0016055~Wnt signaling pathway,GO:0016202~regulation of striated muscle tissue development,GO:0021542~dentate gyrus development,GO:0021854~hypothalamus development,GO:0021861~forebrain radial glial cell differentiation,GO:0021873~forebrain neuroblast division,GO:0021879~forebrain neuron differentiation,GO:0021943~formation of radial glial scaffolds,GO:0022407~regulation of cell-cell adhesion,GO:0022408~negative regulation of cell-cell adhesion,GO:0022409~positive regulation of cell-cell adhesion,GO:0030111~regulation of Wnt signaling pathway,GO:0030223~neutrophil differentiation,GO:0030307~positive regulation of cell growth,GO:0030326~embryonic limb morphogenesis,GO:0030335~positive regulation of cell migration,GO:0030509~BMP signaling pathway,GO:0030854~positive regulation of granulocyte differentiation,GO:0030879~mammary gland development,GO:0032696~negative regulation of interleukin-13 production,GO:0032713~negative regulation of interleukin-4 production,GO:0032714~negative regulation of interleukin-5 production,GO:0033153~T cell receptor V(D)J recombination,GO:0042100~B cell proliferation,GO:0042475~odontogenesis of dentin-containing tooth,GO:0043066~negative regulation of apoptotic process,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043392~negative regulation of DNA binding,GO:0043401~steroid hormone mediated signaling pathway,GO:0043586~tongue development,GO:0043923~positive regulation by host of viral transcription,GO:0043966~histone H3 acetylation,GO:0043967~histone H4 acetylation,GO:0045063~T-helper 1 cell differentiation,GO:0045843~negative regulation of striated muscle tissue development,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046632~alpha-beta T cell differentiation,GO:0048069~eye pigmentation,GO:0048341~paraxial mesoderm formation,GO:0048747~muscle fiber development,GO:0050909~sensory perception of taste,GO:0060021~palate development,GO:0060033~anatomical structure regression,GO:0060070~canonical Wnt signaling pathway,GO:0060325~face morphogenesis,GO:0060326~cell chemotaxis,GO:0060561~apoptotic process involved in morphogenesis,GO:0060710~chorio-allantoic fusion,GO:0061153~trachea gland development,GO:0071345~cellular response to cytokine stimulus,GO:0071353~cellular response to interleukin-4,GO:0071864~positive regulation of cell proliferation in bone marrow,GO:0071866~negative regulation of apoptotic process in bone marrow,GO:0071895~odontoblast differentiation,GO:0071899~negative regulation of estrogen receptor binding,GO:0090068~positive regulation of cell cycle process,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:1902262~apoptotic process involved in patterning of blood vessels,GO:1904837~beta-catenin-TCF complex assembly,
LTA	lymphotoxin alpha(LTA)	Homo sapiens	GO:0001666~response to hypoxia,GO:0002876~positive regulation of chronic inflammatory response to antigenic stimulus,GO:0002925~positive regulation of humoral immune response mediated by circulating immunoglobulin,GO:0006915~apoptotic process,GO:0006955~immune response,GO:0006959~humoral immune response,GO:0007165~signal transduction,GO:0007267~cell-cell signaling,GO:0007584~response to nutrient,GO:0032496~response to lipopolysaccharide,GO:0032729~positive regulation of interferon-gamma production,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0042493~response to drug,GO:0043065~positive regulation of apoptotic process,GO:0044130~negative regulation of growth of symbiont in host,GO:0048147~negative regulation of fibroblast proliferation,GO:0048535~lymph node development,GO:0050830~defense response to Gram-positive bacterium,GO:0060252~positive regulation of glial cell proliferation,
LTBR	lymphotoxin beta receptor(LTBR)	Homo sapiens	GO:0006915~apoptotic process,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0007275~multicellular organism development,GO:0016032~viral process,GO:0032496~response to lipopolysaccharide,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0042127~regulation of cell proliferation,GO:0043011~myeloid dendritic cell differentiation,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0046330~positive regulation of JNK cascade,GO:0071260~cellular response to mechanical stimulus,GO:2001238~positive regulation of extrinsic apoptotic signaling pathway,
LTB	lymphotoxin beta(LTB)	Homo sapiens	GO:0006955~immune response,GO:0007165~signal transduction,GO:0007267~cell-cell signaling,GO:0010467~gene expression,GO:0033209~tumor necrosis factor-mediated signaling pathway,GO:0043588~skin development,GO:0045084~positive regulation of interleukin-12 biosynthetic process,GO:0048535~lymph node development,
KAT2A	lysine acetyltransferase 2A(KAT2A)	Homo sapiens	GO:0001701~in utero embryonic development,GO:0001756~somitogenesis,GO:0001843~neural tube closure,GO:0006338~chromatin remodeling,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0008283~cell proliferation,GO:0014070~response to organic cyclic compound,GO:0016032~viral process,GO:0016578~histone deubiquitination,GO:0021537~telencephalon development,GO:0022037~metencephalon development,GO:0030901~midbrain development,GO:0031346~positive regulation of cell projection organization,GO:0031647~regulation of protein stability,GO:0031667~response to nutrient levels,GO:0035066~positive regulation of histone acetylation,GO:0035264~multicellular organism growth,GO:0035948~positive regulation of gluconeogenesis by positive regulation of transcription from RNA polymerase II promoter,GO:0043966~histone H3 acetylation,GO:0043983~histone H4-K12 acetylation,GO:0044154~histone H3-K14 acetylation,GO:0045815~positive regulation of gene expression, epigenetic,GO:0048312~intracellular distribution of mitochondria,GO:0055007~cardiac muscle cell differentiation,GO:0071356~cellular response to tumor necrosis factor,GO:0071929~alpha-tubulin acetylation,GO:1903146~regulation of mitophagy,GO:1903955~positive regulation of protein targeting to mitochondrion,GO:1990090~cellular response to nerve growth factor stimulus,GO:2000679~positive regulation of transcription regulatory region DNA binding,
KAT2B	lysine acetyltransferase 2B(KAT2B)	Homo sapiens	GO:0006338~chromatin remodeling,GO:0006367~transcription initiation from RNA polymerase II promoter,GO:0006473~protein acetylation,GO:0007050~cell cycle arrest,GO:0007219~Notch signaling pathway,GO:0008285~negative regulation of cell proliferation,GO:0010835~regulation of protein ADP-ribosylation,GO:0016032~viral process,GO:0018076~N-terminal peptidyl-lysine acetylation,GO:0018393~internal peptidyl-lysine acetylation,GO:0018394~peptidyl-lysine acetylation,GO:0032869~cellular response to insulin stimulus,GO:0035948~positive regulation of gluconeogenesis by positive regulation of transcription from RNA polymerase II promoter,GO:0043966~histone H3 acetylation,GO:0043970~histone H3-K9 acetylation,GO:0045736~negative regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0045815~positive regulation of gene expression, epigenetic,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048511~rhythmic process,
KDM1A	lysine demethylase 1A(KDM1A)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000380~alternative mRNA splicing, via spliceosome,GO:0001701~in utero embryonic development,GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006482~protein demethylation,GO:0007596~blood coagulation,GO:0008283~cell proliferation,GO:0010569~regulation of double-strand break repair via homologous recombination,GO:0010725~regulation of primitive erythrocyte differentiation,GO:0010976~positive regulation of neuron projection development,GO:0016575~histone deacetylation,GO:0021983~pituitary gland development,GO:0021987~cerebral cortex development,GO:0030851~granulocyte differentiation,GO:0032091~negative regulation of protein binding,GO:0033169~histone H3-K9 demethylation,GO:0033184~positive regulation of histone ubiquitination,GO:0034644~cellular response to UV,GO:0034720~histone H3-K4 demethylation,GO:0035563~positive regulation of chromatin binding,GO:0042551~neuron maturation,GO:0043392~negative regulation of DNA binding,GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity,GO:0043518~negative regulation of DNA damage response, signal transduction by p53 class mediator,GO:0045648~positive regulation of erythrocyte differentiation,GO:0045654~positive regulation of megakaryocyte differentiation,GO:0045793~positive regulation of cell size,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046098~guanine metabolic process,GO:0046886~positive regulation of hormone biosynthetic process,GO:0050768~negative regulation of neurogenesis,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0051572~negative regulation of histone H3-K4 methylation,GO:0051573~negative regulation of histone H3-K9 methylation,GO:0055001~muscle cell development,GO:0055114~oxidation-reduction process,GO:0060992~response to fungicide,GO:0071320~cellular response to cAMP,GO:0071480~cellular response to gamma radiation,GO:1902166~negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,GO:1903827~regulation of cellular protein localization,GO:1990138~neuron projection extension,GO:2000179~positive regulation of neural precursor cell proliferation,GO:2000648~positive regulation of stem cell proliferation,
KDM6B	lysine demethylase 6B(KDM6B)	Homo sapiens	GO:0002437~inflammatory response to antigenic stimulus,GO:0014823~response to activity,GO:0021766~hippocampus development,GO:0045165~cell fate commitment,GO:0045446~endothelial cell differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048333~mesodermal cell differentiation,GO:0055007~cardiac muscle cell differentiation,GO:0055114~oxidation-reduction process,GO:0060992~response to fungicide,GO:0070301~cellular response to hydrogen peroxide,GO:0071557~histone H3-K27 demethylation,
KMT2A	lysine methyltransferase 2A(KMT2A)	Homo sapiens	GO:0006306~DNA methylation,GO:0006366~transcription from RNA polymerase II promoter,GO:0006461~protein complex assembly,GO:0006915~apoptotic process,GO:0008285~negative regulation of cell proliferation,GO:0008542~visual learning,GO:0009791~post-embryonic development,GO:0009952~anterior/posterior pattern specification,GO:0018026~peptidyl-lysine monomethylation,GO:0032411~positive regulation of transporter activity,GO:0032922~circadian regulation of gene expression,GO:0035162~embryonic hemopoiesis,GO:0035640~exploration behavior,GO:0035864~response to potassium ion,GO:0043984~histone H4-K16 acetylation,GO:0044648~histone H3-K4 dimethylation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048172~regulation of short-term neuronal synaptic plasticity,GO:0048536~spleen development,GO:0048873~homeostasis of number of cells within a tissue,GO:0051568~histone H3-K4 methylation,GO:0051571~positive regulation of histone H3-K4 methylation,GO:0051899~membrane depolarization,GO:0060216~definitive hemopoiesis,GO:0071440~regulation of histone H3-K14 acetylation,GO:0080182~histone H3-K4 trimethylation,GO:1901674~regulation of histone H3-K27 acetylation,GO:2000615~regulation of histone H3-K9 acetylation,GO:2001040~positive regulation of cellular response to drug,
LPAR1	lysophosphatidic acid receptor 1(LPAR1)	Homo sapiens	GO:0000187~activation of MAPK activity,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007193~adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,GO:0007202~activation of phospholipase C activity,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0008360~regulation of cell shape,GO:0010977~negative regulation of neuron projection development,GO:0014003~oligodendrocyte development,GO:0021549~cerebellum development,GO:0021554~optic nerve development,GO:0022038~corpus callosum development,GO:0030818~negative regulation of cAMP biosynthetic process,GO:0032060~bleb assembly,GO:0035025~positive regulation of Rho protein signal transduction,GO:0042552~myelination,GO:0043065~positive regulation of apoptotic process,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043410~positive regulation of MAPK cascade,GO:0051482~positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway,GO:0051496~positive regulation of stress fiber assembly,GO:0060326~cell chemotaxis,GO:0060999~positive regulation of dendritic spine development,GO:0071453~cellular response to oxygen levels,GO:0071673~positive regulation of smooth muscle cell chemotaxis,GO:1904566~cellular response to 1-oleoyl-sn-glycerol 3-phosphate,
LPAR2	lysophosphatidic acid receptor 2(LPAR2)	Homo sapiens	GO:0007186~G-protein coupled receptor signaling pathway,GO:0007202~activation of phospholipase C activity,GO:0007204~positive regulation of cytosolic calcium ion concentration,
LPAR3	lysophosphatidic acid receptor 3(LPAR3)	Homo sapiens	GO:0000187~activation of MAPK activity,GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0007268~chemical synaptic transmission,GO:0032060~bleb assembly,GO:0048672~positive regulation of collateral sprouting,GO:0051482~positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway,GO:0051928~positive regulation of calcium ion transport,
LPAR4	lysophosphatidic acid receptor 4(LPAR4)	Homo sapiens	GO:0035025~positive regulation of Rho protein signal transduction,GO:0051482~positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway,
LPAR5	lysophosphatidic acid receptor 5(LPAR5)	Homo sapiens	GO:0007186~G-protein coupled receptor signaling pathway,
LPAR6	lysophosphatidic acid receptor 6(LPAR6)	Homo sapiens	GO:0035025~positive regulation of Rho protein signal transduction,GO:0051482~positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway,
LAMP1	lysosomal associated membrane protein 1(LAMP1)	Homo sapiens	GO:0006914~autophagy,GO:0008626~granzyme-mediated apoptotic signaling pathway,GO:0043323~positive regulation of natural killer cell degranulation,GO:0045954~positive regulation of natural killer cell mediated cytotoxicity,GO:0046718~viral entry into host cell,GO:0048102~autophagic cell death,GO:0050821~protein stabilization,GO:0072594~establishment of protein localization to organelle,GO:0090160~Golgi to lysosome transport,GO:1902513~regulation of organelle transport along microtubule,
LAMP3	lysosomal associated membrane protein 3(LAMP3)	Homo sapiens	GO:0002250~adaptive immune response,GO:0010506~regulation of autophagy,GO:0010628~positive regulation of gene expression,GO:0035455~response to interferon-alpha,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0046718~viral entry into host cell,GO:1901799~negative regulation of proteasomal protein catabolic process,GO:1903900~regulation of viral life cycle,
LAPTM5	lysosomal protein transmembrane 5(LAPTM5)	Homo sapiens	GO:0006810~transport,
LYST	lysosomal trafficking regulator(LYST)	Homo sapiens	GO:0007040~lysosome organization,GO:0015031~protein transport,GO:0030595~leukocyte chemotaxis,GO:0032438~melanosome organization,GO:0032510~endosome to lysosome transport via multivesicular body sorting pathway,GO:0033364~mast cell secretory granule organization,GO:0042267~natural killer cell mediated cytotoxicity,GO:0042742~defense response to bacterium,GO:0042832~defense response to protozoan,GO:0043473~pigmentation,GO:0051607~defense response to virus,
LYZ	lysozyme(LYZ)	Homo sapiens	GO:0001895~retina homeostasis,GO:0006954~inflammatory response,GO:0008152~metabolic process,GO:0016998~cell wall macromolecule catabolic process,GO:0019835~cytolysis,GO:0044267~cellular protein metabolic process,GO:0050829~defense response to Gram-negative bacterium,GO:0050830~defense response to Gram-positive bacterium,
LOX	lysyl oxidase(LOX)	Homo sapiens	GO:0006464~cellular protein modification process,GO:0007507~heart development,GO:0030198~extracellular matrix organization,GO:0030199~collagen fibril organization,GO:0030324~lung development,GO:0035904~aorta development,GO:0042060~wound healing,GO:0042493~response to drug,GO:0048251~elastic fiber assembly,GO:0048545~response to steroid hormone,GO:0055114~oxidation-reduction process,
